time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-14 00:00:00+00:00,9,4,42.0,6.0
2023-09-15 00:00:00+00:00,3,2,18.0,3.0
2023-09-16 00:00:00+00:00,11,6,10.0,2.0
2023-09-17 00:00:00+00:00,6,3,8.0,1.0
2023-09-18 00:00:00+00:00,5,4,1.0,1.0
2023-09-19 00:00:00+00:00,3,2,11.0,6.0
2023-09-20 00:00:00+00:00,3,2,6.0,2.0
2023-09-21 00:00:00+00:00,6,3,,
2023-09-22 00:00:00+00:00,3,2,1.0,1.0
2023-09-23 00:00:00+00:00,7,3,,
2023-09-24 00:00:00+00:00,3,2,,
2023-09-25 00:00:00+00:00,5,4,4.0,3.0
2023-09-26 00:00:00+00:00,4,3,8.0,5.0
2023-09-27 00:00:00+00:00,2,1,2.0,1.0
