time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-21 00:00:00+00:00,1,1,2,1
2025-07-22 00:00:00+00:00,3,3,2,1
2025-07-23 00:00:00+00:00,3,3,2,2
2025-07-24 00:00:00+00:00,3,3,5,2
2025-07-25 00:00:00+00:00,1,1,1,1
2025-07-26 00:00:00+00:00,4,4,4,1
2025-07-27 00:00:00+00:00,4,4,1,1
2025-07-28 00:00:00+00:00,1,1,3,2
2025-07-29 00:00:00+00:00,1,1,6,2
2025-07-30 00:00:00+00:00,6,6,2,1
2025-07-31 00:00:00+00:00,5,5,2,1
2025-08-01 00:00:00+00:00,1,1,8,3
2025-08-02 00:00:00+00:00,2,2,1,1
