url_path,views_total,views_unique
/marcin-l/PegaDevTools,68,37
/marcin-l/PegaDevTools/wiki,30,11
/marcin-l/PegaDevTools/releases/tag/1.0,26,11
/marcin-l/PegaDevTools/wiki/Configuration,21,6
/marcin-l/PegaDevTools/commit/0c0ff71b5c40c36314cf9acc4be28085d4c07198,20,3
/marcin-l/PegaDevTools/commit/263c9c053326bd324db42014bdfd1ac884c250bb,20,3
/marcin-l/PegaDevTools/commit/3b6f9f7f9533a4d8dd4240e5de97c4a7f9e5e70d,20,3
/marcin-l/PegaDevTools/commit/64c1cbe56e4c2628590a48aab353c328c0108cb6,20,3
/marcin-l/PegaDevTools/commit/9ab1172c5417d5723ac8737e27e937a33cfeab17,20,3
/marcin-l/PegaDevTools/commit/cf0e16cf6ae4774f34286f70d5f85ba9a0dc0568,20,3
