time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-27 00:00:00+00:00,4.0,3.0,8.0,1.0
2023-05-28 00:00:00+00:00,3.0,2.0,10.0,5.0
2023-05-29 00:00:00+00:00,5.0,4.0,15.0,6.0
2023-05-30 00:00:00+00:00,3.0,2.0,64.0,7.0
2023-05-31 00:00:00+00:00,9.0,4.0,27.0,11.0
2023-06-01 00:00:00+00:00,6.0,4.0,39.0,12.0
2023-06-02 00:00:00+00:00,3.0,2.0,9.0,5.0
2023-06-03 00:00:00+00:00,3.0,2.0,,
2023-06-04 00:00:00+00:00,3.0,2.0,3.0,3.0
2023-06-05 00:00:00+00:00,5.0,4.0,42.0,8.0
2023-06-06 00:00:00+00:00,4.0,3.0,14.0,6.0
2023-06-07 00:00:00+00:00,3.0,2.0,13.0,8.0
2023-06-08 00:00:00+00:00,3.0,2.0,11.0,7.0
2023-06-09 00:00:00+00:00,,,9.0,5.0
