url_path,views_total,views_unique
/marcin-l/PegaDevTools,24,12
/marcin-l/PegaDevTools/tree/github-repo-stats/marcin-l/PegaDevTools,12,1
/marcin-l/PegaDevTools/wiki,6,4
/marcin-l/PegaDevTools/blob/master/README.md,6,1
/marcin-l/PegaDevTools/wiki/Configuration,6,1
/marcin-l/PegaDevTools/wiki/Developer-Studio,5,4
/marcin-l/PegaDevTools/pulse,4,2
/marcin-l/PegaDevTools/graphs/traffic,4,1
/marcin-l/PegaDevTools/blob/github-repo-stats/marcin-l/PegaDevTools/ghrs-data/views_clones_aggregate.csv,2,1
/marcin-l/PegaDevTools/blob/master/manifest.json,2,1
