time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-11 00:00:00+00:00,9,4,51,6
2026-06-12 00:00:00+00:00,18,7,22,1
2026-06-13 00:00:00+00:00,22,9,0,0
2026-06-14 00:00:00+00:00,22,7,7,4
2026-06-15 00:00:00+00:00,8,3,33,2
2026-06-16 00:00:00+00:00,20,5,0,0
2026-06-17 00:00:00+00:00,15,5,8,4
2026-06-18 00:00:00+00:00,33,9,5,3
2026-06-19 00:00:00+00:00,50,11,73,5
2026-06-20 00:00:00+00:00,26,6,3,3
2026-06-21 00:00:00+00:00,39,11,2,2
2026-06-22 00:00:00+00:00,39,11,32,3
2026-06-23 00:00:00+00:00,26,6,35,3
2026-06-24 00:00:00+00:00,34,11,31,4
