time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-26 00:00:00+00:00,1,1,13,7
2026-08-27 00:00:00+00:00,8,3,1,1
2026-08-28 00:00:00+00:00,1,1,1,1
2026-08-29 00:00:00+00:00,1,1,0,0
2026-08-30 00:00:00+00:00,4,4,0,0
2026-08-31 00:00:00+00:00,2,2,21,4
2026-09-01 00:00:00+00:00,10,5,5,3
2026-09-02 00:00:00+00:00,20,11,2,2
2026-09-03 00:00:00+00:00,11,10,4,2
2026-09-04 00:00:00+00:00,18,18,1,1
2026-09-05 00:00:00+00:00,17,7,1,1
2026-09-06 00:00:00+00:00,4,4,2,2
2026-09-07 00:00:00+00:00,1,1,2,1
2026-09-08 00:00:00+00:00,1,1,5,2
