time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-20 00:00:00+00:00,3.0,2.0,8,3
2023-05-21 00:00:00+00:00,3.0,2.0,11,5
2023-05-22 00:00:00+00:00,8.0,5.0,68,20
2023-05-23 00:00:00+00:00,3.0,2.0,15,7
2023-05-24 00:00:00+00:00,4.0,3.0,21,11
2023-05-25 00:00:00+00:00,5.0,3.0,22,11
2023-05-26 00:00:00+00:00,3.0,2.0,41,8
2023-05-27 00:00:00+00:00,4.0,3.0,8,1
2023-05-28 00:00:00+00:00,3.0,2.0,10,5
2023-05-29 00:00:00+00:00,5.0,4.0,15,6
2023-05-30 00:00:00+00:00,3.0,2.0,64,7
2023-05-31 00:00:00+00:00,9.0,4.0,27,11
2023-06-01 00:00:00+00:00,6.0,4.0,39,12
2023-06-02 00:00:00+00:00,,,9,5
